Attribute,Grade,Rulex,SHAP,LIME,Ablation,Cum_Ablation,Curr_Pred,Org_Pred
CSMD3,1,0.0,0.0019014908,0.0086899321,0.0024103175,0.0026111111,0.3779190476,0.3779365079
SMARCA4,1,0.0,0.0031853703,0.061171377,0.0024468254,0.0029952381,0.3769825397,0.3779365079
GRIN2A,1,0.0,0.0048067216,0.0551506265,0.0041960317,0.0049365079,0.3763190476,0.3779365079
PDGFRA,1,0.0029334842,0.0027848756,0.0478943642,0.0044007937,0.0067365079,0.3789111111,0.3779365079
FUBP1,1,0.0,0.0069879123,0.0658983677,0.0048,0.0083484127,0.3751230159,0.3779365079
FAT4,1,0.0,0.0032537347,0.0395741668,0.0049095238,0.0091785714,0.3742936508,0.3779365079
BCOR,1,0.0009417869,0.0030687659,0.0088004348,0.0051119048,0.0093936508,0.3740714286,0.3779365079
NOTCH1,1,0.0,0.0075522365,0.1044138036,0.006115873,0.0104349206,0.369484127,0.3779365079
RB1,1,0.0,0.0082805716,0.0767476862,0.0091031746,0.0139801587,0.372418254,0.3779365079
PIK3R1,1,0.0035178032,0.0111553413,0.083762503,0.0101380952,0.0165865079,0.3729111111,0.3779365079
IDH2,1,0.0,0.0146692808,0.1808525986,0.010734127,0.0190888889,0.3742,0.3779365079
PIK3CA,1,0.0021397979,0.0049980947,0.0252291138,0.0158388889,0.0215666667,0.3730206349,0.3779365079
Race,1,0.0025688991,0.0109531016,0.0417011333,0.0171309524,0.0224587302,0.378997619,0.3779365079
NF1,1,0.0,0.0129144063,0.0766060765,0.0163380952,0.0262261905,0.3769515873,0.3779365079
MUC16,1,0.0,0.0167454122,0.0500847307,0.0211515873,0.0297349206,0.3792912698,0.3779365079
CIC,1,0.0,0.0251306328,0.1131173743,0.0295484127,0.0323515873,0.3747857143,0.3779365079
EGFR,1,0.0463761224,0.017306286,0.0276111359,0.0442484127,0.0385690476,0.4009992063,0.3779365079
TP53,1,0.0187741825,0.0172176948,0.0501476601,0.043652381,0.0423309524,0.3858412698,0.3779365079
Gender,1,0.0157409087,0.0133066933,0.0046321007,0.0394222222,0.04425,0.3849833333,0.3779365079
ATRX,1,0.0049426555,0.038815043,0.0898284879,0.0462071429,0.0498880952,0.3673984127,0.3779365079
PTEN,1,0.1011631096,0.0470416361,0.1924597813,0.0506674603,0.0570095238,0.3773698413,0.3779365079
Age_at_diagnosis,1,0.1232328166,0.0993960314,0.0984437752,0.1042007937,0.0806603175,0.3708920635,0.3779365079
IDH1,1,0.0005005476,0.2106775244,0.4446048329,0.2042555556,0.2112611111,0.4161055556,0.3779365079
