Attribute,Rulex,SHAP,LIME,Rulex_rank,SHAP_rank,LIME_rank
Age,0.0173907508,1.482704593,0.0123847747,8,17,10
CAEC,0.0007889731,0.2984275974,0.0092402537,2,8,9
CALC,0.0,0.2342153651,0.0015602742,1,7,3
CH2O,0.0091289558,0.6411916222,0.0077776096,5,15,8
FAF,0.0103306382,0.4205188321,0.0067943489,6,10,7
family_history_with_overweight,0.0127902813,0.5931000831,0.0,7,14,1
FAVC,0.0029481724,0.1499759995,0.0,3,6,1
FCVC,0.0285089943,1.4355728251,0.0026253029,9,16,4
Gender,0.0,0.4301158427,0.0010304021,1,11,2
NCP,0.0008580918,0.5394041994,0.0091260555,2,12,9
SCC,0.0,0.0236496051,0.0022485466,1,4,3
SMOKE,0.0,0.0111666145,0.0035550414,1,3,5
Transport_Automobile,0.0,0.0658335529,0.0012439196,1,5,2
Transport_Bike,0.0,0.0,0.0067902392,1,1,7
Transport_Motorbike,0.0,0.0,0.006959372,1,1,7
Transport_Public_Transportation,0.0029533486,0.390846219,0.0011640486,3,9,2
Transport_Walking,0.0,0.0026562808,0.0025774162,1,2,4
TUE,0.003894493,0.5757888069,0.0061016939,4,13,6
