Attribute,Diabetes_binary,Rulex,SHAP,LIME,Ablation,Cum_Ablation,Curr_Pred,Org_Pred
CholCheck,0,0.0,0.0391733049,0.0,0.0017323107,0.0015012732,0.145914647,0.1466997914
AnyHealthcare,0,0.0000130438,0.0334774407,0.0,0.0026468927,0.0030367169,0.1459399833,0.1466997914
HvyAlcoholConsump,0,0.0010368589,0.0467933472,0.0086201963,0.0055701349,0.0063783559,0.1470490766,0.1466997914
NoDocbcCost,0,0.0,0.0894749573,0.0151741236,0.0064776475,0.007420709,0.1473545978,0.1466997914
Stroke,0,0.0039211053,0.0710049375,0.0210727136,0.0073866934,0.0096621551,0.1462417577,0.1466997914
Veggies,0,0.0002021846,0.1138547946,0.0,0.0169940916,0.0181980224,0.1434852201,0.1466997914
DiffWalk,0,0.0102224419,0.1616721853,0.0206653075,0.0183845024,0.021570514,0.1471864639,0.1466997914
HeartDiseaseorAttack,0,0.010119582,0.2373590156,0.0428453237,0.0193393998,0.0223974166,0.1503351871,0.1466997914
PhysActivity,0,0.0001635731,0.1661380633,0.0,0.0209286359,0.0256281215,0.1472771843,0.1466997914
Smoker,0,0.0,0.2086350724,0.0076141338,0.0252787286,0.0259057599,0.1507416194,0.1466997914
Fruits,0,0.0010279188,0.2024895013,0.0090118273,0.0227947079,0.0263284401,0.1496779307,0.1466997914
Sex,0,0.0,0.2397140643,0.0161321471,0.0268621654,0.029298028,0.1499330098,0.1466997914
Income,0,0.0002054493,0.5081133912,0.0068917704,0.0455550052,0.04126207,0.1571975458,0.1466997914
Education,0,0.0024480191,0.4643531929,0.0182424845,0.0402851211,0.0431506631,0.1559051684,0.1466997914
PhysHlth,0,0.0022186576,0.275688405,0.0217445424,0.0376830608,0.0432601631,0.1684640742,0.1466997914
HighChol,0,0.0036713315,0.4335957288,0.053858982,0.0459071401,0.045567984,0.1496315293,0.1466997914
MentHlth,0,0.0005935519,0.4425231978,0.0127567639,0.0502327658,0.0464899298,0.1528695325,0.1466997914
HighBP,0,0.0022443849,0.6127181017,0.0664247313,0.0393061123,0.0514861831,0.1571175953,0.1466997914
Age,0,0.001237764,0.6517502008,0.0326062276,0.0565560921,0.0519732463,0.1604932956,0.1466997914
GenHlth,0,0.0072181815,1.1429006641,0.0380564261,0.0741651811,0.0754250346,0.1607916244,0.1466997914
BMI,0,0.0021494504,1.1930220308,0.0917130182,0.0936708443,0.0787486541,0.1639046593,0.1466997914
