Attribute,Y,Target,Rulex,SHAP,LIME,Ablation,Cum_Ablation,Curr_Pred,Org_Pred
STDs:pelvic inflammatory disease,0,Schiller,0.0000351661,0.0,0.0022824121,0.0000000019,0.0,0.0056365412,0.0056365419
Dx:CIN,0,Schiller,0.0,0.0,0.0052154399,0.00000002,0.0000000034,0.035249715,0.0352497083
STDs:genital herpes,0,Schiller,0.0,0.091245117,0.0026269298,0.0002842483,0.0002734947,0.0055136941,0.0056365419
STDs:vaginal condylomatosis,0,Schiller,0.0,0.2333439681,0.0043697316,0.0025951439,0.0028709895,0.0154820332,0.0137167813
STDs:syphilis,0,Schiller,0.0,0.5208823828,0.0098927701,0.0044311366,0.0049854777,0.0107486032,0.0058300642
STDs:HIV,0,Schiller,0.011430502,0.2413281158,0.0067767994,0.0049523552,0.0051550015,0.0166112669,0.0166361825
IUD,0,Schiller,0.0,0.1462843813,0.0019240604,0.0090366444,0.0060243641,0.0454481946,0.04826512
Hormonal Contraceptives,0,Schiller,0.0023466162,0.2114452904,0.0032985706,0.0083853036,0.0094782571,0.0407843534,0.045252483
STDs: Number of diagnosis,0,Schiller,0.0,0.1828594464,0.0034672553,0.0106561757,0.010540933,0.0461413141,0.0490862731
Smokes,0,Schiller,0.0,0.3247789642,0.0031498645,0.0111020469,0.0124391096,0.0470704776,0.0379279357
STDs,0,Schiller,0.0003587215,0.3580406647,0.0100399653,0.012250769,0.0127040489,0.0218078211,0.0286244062
Smokes (years),0,Schiller,0.0000431613,0.3833463669,0.0047848466,0.0154699102,0.0167455098,0.0496003647,0.0379279357
IUD (years),0,Schiller,0.0039052072,0.379893498,0.0101419563,0.0197840915,0.0191539848,0.0295511611,0.04826512
Smokes (packs/year),0,Schiller,0.0013667221,0.6170918321,0.0100025294,0.0149294223,0.0219592327,0.0355478236,0.0357281657
Num of pregnancies,0,Schiller,0.0022771824,0.4687516209,0.0079972426,0.0241408212,0.024686368,0.0486213754,0.0464898151
Number of sexual partners,0,Schiller,0.0080466682,0.5614534889,0.0112898705,0.0294204258,0.0286741321,0.0468903897,0.0460198406
First sexual intercourse,0,Schiller,0.008408883,0.7397404011,0.0123563895,0.0324878398,0.0304023519,0.0464127491,0.0460198406
Dx,0,Schiller,0.0,0.7784057763,0.0291628508,0.035969642,0.0304240515,0.0294213715,0.0665400816
Dx:Cancer,0,Schiller,0.0,0.8665472263,0.0379312798,0.0382735339,0.0318541159,0.0553337696,0.0949257683
Age,0,Schiller,0.0137598756,0.8231514462,0.0075190812,0.0390234966,0.0328878079,0.0582617566,0.0460198406
Hormonal Contraceptives (years),0,Schiller,0.0070125682,0.8374836538,0.0178989453,0.0361958905,0.0350325215,0.0554124526,0.0460198406
