Attribute,Rulex,SHAP,LIME,Ablation,Cum_Ablation,Curr_Pred,Org_Pred
0,0.0000043482,0.0,0.0,0.0000001444,0.0000001444,0.4857543936,0.4857543823
1,0.0005349964,0.0812962395,0.0,0.0120764762,0.0120764757,0.4854971445,0.4857543823
18,0.0035047986,0.0711541467,0.0443407434,0.0217236875,0.0208841091,0.4903928698,0.4857543823
12,0.0118121002,0.4355018827,0.0539034901,0.1054054781,0.0746165451,0.5255686795,0.4857543823
17,0.0060127916,0.4889579408,0.0241529691,0.1016902458,0.0780611488,0.5194192114,0.4857543823
14,0.0689291489,0.6400032225,0.2404399102,0.1067262612,0.0913562663,0.5219555812,0.4857543823
16,0.0075773655,0.4753451056,0.0243009648,0.0922492969,0.0923191216,0.4883417156,0.4857543823
9,0.0108653885,0.4407419193,0.0770548723,0.0954346772,0.0934776048,0.5110779935,0.4857543823
8,0.0306042371,0.7184562618,0.1325631918,0.1306996747,0.1143626928,0.5298384754,0.4857543823
2,0.0831981411,1.0079472419,0.0909770181,0.1912265613,0.1160121042,0.5209085325,0.4857543823
11,0.008402489,0.6544139192,0.0790447442,0.1261861784,0.1220540412,0.4912974963,0.4857543823
