Attribute,Grade,Rulex,SHAP,LIME,Ablation,Cum_Ablation,Curr_Pred,Org_Pred
SMARCA4,1,0.0,0.0031539308,0.0591645464,0.0023706349,0.0023706349,0.3770642857,0.3780952381
CSMD3,1,0.0,0.0018000177,0.0086331079,0.0025166667,0.0024928571,0.3772190476,0.3780952381
GRIN2A,1,0.0,0.0048266803,0.0554819835,0.0038222222,0.0037214286,0.3770436508,0.3780952381
FUBP1,1,0.0,0.0069391453,0.0661895323,0.0043071429,0.004265873,0.3737761905,0.3780952381
PDGFRA,1,0.0029334842,0.0027932589,0.0444124431,0.0045952381,0.004315873,0.3749349206,0.3780952381
FAT4,1,0.0,0.003208976,0.0413824057,0.0045698413,0.0043777778,0.3730873016,0.3780952381
BCOR,1,0.0009417869,0.00306951,0.0087843441,0.0059404762,0.0056714286,0.3748793651,0.3780952381
NOTCH1,1,0.0,0.0075369553,0.1048971865,0.0063746032,0.0060571429,0.3707587302,0.3780952381
PIK3R1,1,0.0035178032,0.0111254464,0.0834368524,0.0096166667,0.0089333333,0.3704269841,0.3780952381
RB1,1,0.0,0.0080452696,0.0766454281,0.0101222222,0.0095277778,0.3728468254,0.3780952381
IDH2,1,0.0,0.0146642344,0.1802277201,0.0111,0.0109920635,0.3730373016,0.3780952381
PIK3CA,1,0.0021397979,0.0050320856,0.024770045,0.0153380952,0.0137277778,0.3726809524,0.3780952381
Race,1,0.0025688991,0.0111508529,0.0430698185,0.0173047619,0.0160007937,0.3784269841,0.3780952381
NF1,1,0.0,0.0129293872,0.0770353437,0.0165142857,0.0167436508,0.3766214286,0.3780952381
MUC16,1,0.0,0.0166690462,0.0491487531,0.0205063492,0.0198738095,0.3774706349,0.3780952381
CIC,1,0.0,0.0252195846,0.1148508309,0.0288611111,0.0255587302,0.3759007937,0.3780952381
EGFR,1,0.0463761224,0.0173110235,0.0273144132,0.0435246032,0.0283706349,0.4014746032,0.3780952381
Gender,1,0.0157409087,0.0134489455,0.0046751041,0.039547619,0.0358047619,0.3842246032,0.3780952381
TP53,1,0.0187741825,0.0172779855,0.0507616049,0.0430293651,0.0373857143,0.3866960317,0.3780952381
ATRX,1,0.0049426555,0.03890556,0.0915701332,0.0470642857,0.048097619,0.366481746,0.3780952381
PTEN,1,0.1011631096,0.0473983773,0.1968515462,0.053068254,0.0507190476,0.3746134921,0.3780952381
Age_at_diagnosis,1,0.1232328166,0.0992700455,0.0984312308,0.1052190476,0.0705126984,0.3700992063,0.3780952381
IDH1,1,0.0005005476,0.2103565946,0.4435341181,0.204918254,0.2086722222,0.4219079365,0.3780952381
