Attribute,Rulex,SHAP,LIME,Ablation,Cum_Ablation,Curr_Pred,Org_Pred
Diarrhea,0.0,0.0576602643,0.0183932501,0.0135484599,0.0136561355,0.5129858393,0.5121296885
Jaundice,0.0,0.0450721854,0.0081825423,0.0146816801,0.015371581,0.5145773107,0.5121296885
Fatigue & generalized bone ache,0.0,0.0373588913,0.0067284006,0.0152822921,0.0162741626,0.5147915758,0.5121296885
Epigastric pain,0.0,0.1012080526,0.0306011646,0.0234623742,0.0240173957,0.5132136223,0.5121296885
HGB,0.0095209408,0.1169686221,0.0208371101,0.0303048172,0.0305161485,0.5103075913,0.5121296885
Headache,0.0,0.1051674228,0.0261308586,0.0346526691,0.03288616,0.5031958743,0.5121296885
Fever,0.0,0.1345207594,0.0429924095,0.032990976,0.0342265725,0.5063635607,0.5121296885
Nausea/Vomting,0.0,0.2025813706,0.0693514307,0.0468690913,0.0473958934,0.5021811118,0.5121296885
Gender,0.0,0.2152784207,0.0612784902,0.0503150384,0.0505047097,0.5017158212,0.5121296885
BMI,0.006891551,0.2488395526,0.0398917335,0.0564974974,0.0576241906,0.5024558447,0.5121296885
ALT 1,0.0032683861,0.2337349257,0.0204947254,0.0702114276,0.058256144,0.4956473751,0.5121296885
ALT 36,0.002332418,0.1753811815,0.0139036868,0.0575831824,0.0583477544,0.5016146492,0.5121296885
WBC,0.0033724605,0.2123085443,0.0283029685,0.0620421258,0.0594754472,0.4968834044,0.5121296885
Plat,0.0019371103,0.2074202961,0.0183862428,0.0610050937,0.0600710397,0.4975837085,0.5121296885
ALT 24,0.0011243977,0.2396421788,0.0310966035,0.0708726297,0.065184859,0.4935934437,0.5121296885
ALT after 24 w,0.0082054393,0.2704737735,0.0560385137,0.0674272616,0.0675359019,0.5007459056,0.5121296885
AST 1,0.0022848526,0.281159635,0.0314091307,0.0804681913,0.0686345515,0.5099581659,0.5121296885
RNA 4,0.0027604711,0.3246375153,0.0473118303,0.0845545548,0.0700262668,0.5215531888,0.5121296885
ALT4,0.0003133498,0.2625255641,0.0336950745,0.0712727583,0.0716033481,0.4971100857,0.5121296885
ALT 12,0.0026750165,0.3116583808,0.0323178598,0.0771842189,0.0726889225,0.5142880954,0.5121296885
RNA Base,0.0034869181,0.3071989054,0.049196251,0.0738471404,0.0740462969,0.4982756326,0.5121296885
RNA 12,0.0029177686,0.285128802,0.0359933657,0.0851156945,0.0741977289,0.5229537927,0.5121296885
ALT 48,0.0036067785,0.3746863966,0.0559434245,0.095924799,0.0745303043,0.5124850684,0.5121296885
RBC,0.0006035715,0.3026623419,0.0469016931,0.0756581912,0.0758704555,0.508910695,0.5121296885
Age,0.0051717923,0.3870476747,0.066723415,0.0833117564,0.0759257746,0.5229586959,0.5121296885
