Attribute,Target,Rulex,SHAP,LIME,Ablation ,Cum_Ablation,Curr_Pred,Org_Pred
NITR_S_1.0,DRESSLER,0.0,1.006559185,0.0093897429,0.0471313035,0.2441435583,0.331756855,0.3613513595
LET_IS_cardiogenic_shock,DRESSLER,0.0,0.8920888,0.0170999905,0.0935140829,0.1235253607,0.3001391778,0.4090457687
fibr_ter_03_1.0,DRESSLER,0.0,0.7235323067,0.0086187868,0.1212650165,0.1018440827,0.26129826,0.3351336067
AGE,PREDS_TAH,0.0127545195,0.5954022466,0.0448476024,0.0423507682,0.0832039026,0.207961518,0.1785477695
AGE,DRESSLER,0.0150246123,0.5554880974,0.0754883738,0.1007016996,0.1232770975,0.3429328077,0.3366490829
ROE,PREDS_TAH,0.019919781,0.5401546158,0.0306741909,0.0437568468,0.0653718777,0.2094135532,0.1796767042
ritm_ecg_p_07_1.0,DRESSLER,0.0,0.5317443256,0.0102293834,0.0414179355,0.0580718309,0.2450350747,0.3239775537
endocr_01_1.0,DRESSLER,0.0,0.5210030317,0.0045691166,0.0343773928,0.0489930571,0.3513124942,0.4567401779
IBS_POST_2.0,DRESSLER,0.0,0.4806431554,0.0054726054,0.0357170792,0.0857331146,0.3502209809,0.3205686161
TIME_B_S_9.0,DRESSLER,0.0,0.4636456507,0.0097142029,0.0940299493,0.0976956566,0.240867931,0.3704580547
ALT_BLOOD,PREDS_TAH,0.00589989,0.4362505965,0.0257684612,0.0475391999,0.0622689328,0.2123504097,0.1785477695
L_BLOOD,DRESSLER,0.0210046918,0.4002299974,0.087975248,0.0591260284,0.1040788287,0.3484954765,0.3366490829
L_BLOOD,PREDS_TAH,0.0035247791,0.3963542557,0.0249067902,0.0291047736,0.0581583129,0.1942873146,0.1785398592
TIME_B_S_6.0,DRESSLER,0.0,0.36965597,0.0074909113,0.0286039629,0.0248501063,0.3475810091,0.3829790038
LID_S_n_1.0,DRESSLER,0.0,0.3572837493,0.0066051616,0.0595739536,0.082975441,0.4170990317,0.3565837055
LID_KB_1.0,DRESSLER,0.0,0.3539027033,0.0070768226,0.0206614434,0.0501628428,0.3136062888,0.3335137473
S_AD_ORIT,PREDS_TAH,0.0296144317,0.3156584268,0.0255607901,0.0346192601,0.0532160357,0.2083306111,0.1785477695
ant_im_4.0,DRESSLER,0.0,0.3112913637,0.0062048358,0.0462691929,0.0300269037,0.2981578241,0.2990902624
DLIT_AG_nan,DRESSLER,0.0,0.30156593,0.0102185198,0.0567124726,0.0494620455,0.276052775,0.2343509617
DLIT_AG_7.0,DRESSLER,0.0,0.2963236128,0.0066675557,0.0402527137,0.0632202321,0.3221918544,0.3566739597
K_BLOOD,PREDS_TAH,0.0062607757,0.2904032108,0.0160636233,0.0224768618,0.0392127932,0.1805183958,0.1785477695
ROE,DRESSLER,0.0136986299,0.2862942596,0.0688247902,0.0421008428,0.0847053805,0.3552845024,0.3366490829
ROE,OTEK_LANC,0.00567971,0.2807157855,0.0283651464,0.0241617442,0.0601356693,0.3888051534,0.3803907204
D_AD_ORIT,PREDS_TAH,0.0111026447,0.2763550775,0.023272435,0.025578629,0.0395794449,0.1936503077,0.1785477695
ALT_BLOOD,DRESSLER,0.0022864517,0.2691584306,0.0668761764,0.0393726548,0.0879183335,0.3150481206,0.3366490829
AST_BLOOD,PREDS_TAH,0.0102289102,0.2688205523,0.0301207433,0.0224241919,0.0394459571,0.1764135238,0.1785477695
S_AD_ORIT,OTEK_LANC,0.004556461,0.2500338868,0.020402853,0.0208377061,0.0541658983,0.4019585864,0.3806794591
NA_BLOOD,DRESSLER,0.0016595547,0.2473660862,0.0592653156,0.049717233,0.0736756352,0.3230890306,0.3366490829
L_BLOOD,OTEK_LANC,0.0099507941,0.2336978612,0.0219748172,0.0197804901,0.0599761388,0.3763611865,0.3781221621
NOT_NA_KB_1.0,DRESSLER,0.0,0.2281694405,0.0047289797,0.0244154999,0.035206818,0.2875651626,0.3607527772
AGE,OTEK_LANC,0.0128817554,0.2216459529,0.0308189244,0.0208345302,0.0539428267,0.3848277867,0.3803907204
inf_im_4.0,DRESSLER,0.0,0.220513748,0.0047670956,0.0085624258,0.0137967863,0.5905615046,0.6261065248
ant_im_1.0,DRESSLER,0.0,0.2203071714,0.007439092,0.0341556579,0.0559352971,0.3584365778,0.3873980488
