Attribute,Rulex,SHAP,LIME,Ablation,Cum_Ablation,Curr_Pred,Org_Pred
Transport_Motorbike,0.0,0.0,0.0027441622,0.0000001581,0.0,0.4679869832,0.4679869769
Transport_Bike,0.0,0.0,0.0029798167,0.0000001581,0.0000001581,0.4679869832,0.4679869769
Transport_Walking,0.0,0.0330516941,0.0013102894,0.0020236534,0.0020236148,0.4683410762,0.4679869769
SMOKE,0.0015832726,0.0657474129,0.0013176015,0.0027848826,0.0027811487,0.4691161677,0.4679869769
SCC,0.0,0.0918060268,0.0009836897,0.0058954903,0.0061001262,0.468381572,0.4679869769
Transport_Automobile,0.0,0.1745790509,0.0005700806,0.0176525862,0.0176518533,0.4703260815,0.4679869769
FAVC,0.0056285718,0.3992623578,0.0,0.0410917874,0.0424957365,0.4581434532,0.4679869769
Gender,0.0654637871,0.2634020246,0.0004686346,0.0420392229,0.0431375635,0.4337627824,0.4679869769
CALC,0.0,0.4197488749,0.0005604446,0.047998914,0.0467000458,0.4209525604,0.4679869769
CAEC,0.0003398401,0.4615984744,0.002914499,0.0486088805,0.0477316933,0.4007439407,0.4679869769
FAF,0.0604907153,0.5304221002,0.0026013814,0.0556652186,0.0611706215,0.3925155924,0.4679869769
FCVC,0.0580976384,0.7103425496,0.0021933057,0.0809304503,0.068917889,0.3941105331,0.4679869769
NCP,0.0379834737,0.7898187442,0.001294358,0.092221774,0.0752603071,0.4116633354,0.4679869769
TUE,0.0556700431,0.7085542329,0.002440604,0.0881183081,0.0775609077,0.3917631455,0.4679869769
family_history_with_overweight,0.02707664,1.0399876807,0.0,0.0797842075,0.0777440234,0.3705068723,0.4679869769
Age,0.1158098066,1.1573336279,0.0056871763,0.1421972696,0.0858720142,0.4615619805,0.4679869769
CH2O,0.059532766,0.7131400398,0.0024109745,0.0745431788,0.0877226139,0.3755853407,0.4679869769
