Dataset,Spearman (Rulex-SHAP),Spearman (Rulex-LIME),Spearman (SHAP-LIME),Spearman (Rulex-Ablat),Spearman (SHAP-Ablat),Spearman (LIME-Ablat),Kendall (Rulex-SHAP),Kendall (Rulex-LIME),Kendall (SHAP-LIME),Kendall (Rulex-Ablat),Kendall (SHAP-Ablat),Kendall (LIME-Ablat),Jaccard (Rulex-SHAP),Jaccard (Rulex-LIME),Jaccard (SHAP-LIME),Jaccard (Rulex-Ablat),Jaccard (SHAP-Ablat),Jaccard (LIME-Ablat)
Breast_Cancer.csv,0.81,0.98,0.86,0.95,0.9,0.93,0.64,0.94,0.71,0.79,0.79,0.79,0.67,1.0,0.67,1.0,0.67,1.0
CDC_Diabetes.csv,0.55,0.79,0.66,0.48,0.96,0.59,0.4,0.58,0.49,0.36,0.87,0.44,0.43,0.43,0.43,0.25,0.43,0.43
Cervical_Cancer.csv,0.56,0.34,0.72,0.54,0.98,0.64,0.52,0.34,0.55,0.51,0.92,0.51,0.43,0.43,0.67,0.43,1.0,0.67
Diabetes_130_US.csv,0.47,0.01,0.18,0.52,0.98,0.18,0.43,0.06,0.07,0.44,0.93,0.04,0.25,0.11,0.25,0.25,0.67,0.11
Diabetic_Retinopathy_Debrecen.csv,0.79,0.91,0.76,0.87,0.89,0.81,0.6,0.73,0.55,0.75,0.78,0.62,0.43,0.67,0.67,0.67,0.67,0.67
Glioma_Grading_Clinical.csv,0.37,-0.06,0.6,0.53,0.94,0.38,0.38,-0.02,0.45,0.51,0.83,0.28,0.25,0.11,0.43,0.43,0.67,0.25
Hepatit_C_Virus.csv,0.59,0.25,0.68,0.53,0.95,0.51,0.46,0.22,0.53,0.4,0.81,0.37,0.25,0.43,0.25,0.25,0.43,0.25
Myocardial_Infarction.csv,0.23,0.44,0.56,0.22,0.95,0.54,0.21,0.32,0.45,0.23,0.85,0.42,0.37,0.45,0.51,0.26,0.78,0.51
Obesity_level.csv,0.68,0.19,-0.0,0.7,0.97,0.05,0.52,0.13,-0.09,0.52,0.91,-0.03,0.43,0.25,0.11,0.25,0.67,0.11
TOTAL AVERAGE,0.56,0.43,0.56,0.59,0.95,0.51,0.46,0.37,0.41,0.5,0.85,0.38,0.39,0.43,0.44,0.42,0.67,0.44
