Attribute,Rulex,SHAP,LIME,Rulex_rank,SHAP_rank,LIME_rank
Age,0.001237764,0.6517502008,0.0326062276,2,19,11
AnyHealthcare,0.0000130438,0.0334774407,0.0,1,1,1
BMI,0.0021494504,1.1930220308,0.0917130182,3,21,16
CholCheck,0.0,0.0391733049,0.0,1,2,1
DiffWalk,0.0102224419,0.1616721853,0.0206653075,6,7,9
Education,0.0024480191,0.4643531929,0.0182424845,3,16,8
Fruits,0.0010279188,0.2024895013,0.0090118273,2,9,4
GenHlth,0.0072181815,1.1429006641,0.0380564261,5,20,12
HeartDiseaseorAttack,0.010119582,0.2373590156,0.0428453237,6,11,13
HighBP,0.0022443849,0.6127181017,0.0664247313,3,18,15
HighChol,0.0036713315,0.4335957288,0.053858982,4,14,14
HvyAlcoholConsump,0.0010368589,0.0467933472,0.0086201963,2,3,4
Income,0.0002054493,0.5081133912,0.0068917704,1,17,2
MentHlth,0.0005935519,0.4425231978,0.0127567639,2,15,5
NoDocbcCost,0.0,0.0894749573,0.0151741236,1,5,6
PhysActivity,0.0001635731,0.1661380633,0.0,1,8,1
PhysHlth,0.0022186576,0.275688405,0.0217445424,3,13,10
Sex,0.0,0.2397140643,0.0161321471,1,12,7
Smoker,0.0,0.2086350724,0.0076141338,1,10,3
Stroke,0.0039211053,0.0710049375,0.0210727136,4,4,9
Veggies,0.0002021846,0.1138547946,0.0,1,6,1
