Attribute,Target,Rulex,LIME,SHAP
First sexual intercourse,Schiller,0.0051443304,0.0181706536,0.7526296416
Hormonal Contraceptives,Schiller,0.0,0.0044621162,0.2279577273
Hormonal Contraceptives (years),Schiller,0.002699641,0.0276000832,0.9057921274
IUD (years),Schiller,0.001614369,0.0392200168,0.2798662476
Num of pregnancies,Schiller,0.0063568448,0.0031024095,0.3931862747
Number of sexual partners,Schiller,0.0162166677,0.0159264243,0.5666474028
Smokes,Schiller,0.0,0.0088723521,0.193054557
Smokes (packs/year),Schiller,0.0001007086,0.0042267262,0.163884401
Smokes (years),Schiller,0.0,0.0032221966,0.0092695667
STDs,Schiller,0.0,0.0037216844,0.0815064636
STDs (number),Schiller,0.0025624762,0.002867844,0.0612186867
STDs:condylomatosis,Schiller,0.0,0.0031286976,0.0152452208
STDs:genital herpes,Schiller,0.0,0.0036167381,0.0
STDs:HIV,Schiller,0.0,0.0160018916,0.1322181199
STDs:syphilis,Schiller,0.0,0.0123452433,0.0959302016
STDs:vaginal condylomatosis,Schiller,0.0,0.0135488369,0.0845136524
STDs:vulvo-perineal condylomatosis,Schiller,0.0106997383,0.0167764338,0.1747886514
Age,Schiller,0.0062884357,0.0233167757,1.0175388069
Dx,Schiller,0.0,0.0066990974,0.0
Dx:Cancer,Schiller,0.0,0.0216997424,0.7646861383
Dx:HPV,Schiller,0.0,0.0248576681,0.9257467383
STDs: Number of diagnosis,Schiller,0.0,0.0035188548,0.0576505961
Dx:CIN,Schiller,0.0,0.0119496177,0.0
Hormonal Contraceptives (years),Citology,0.0096998561,0.0150103723,1.0019123908
Number of sexual partners,Citology,0.0053293931,0.0148441638,0.5426166366
First sexual intercourse,Citology,0.0128094205,0.0126254729,0.7360592394
STDs:vulvo-perineal condylomatosis,Citology,0.0064710886,0.0068736741,0.2011250251
IUD (years),Citology,0.0,0.0203894441,0.1602686377
Smokes (packs/year),Citology,0.0000257088,0.0143255554,0.1921246889
Dx,Citology,0.0,0.0181341978,0.85881202
Dx:HPV,Citology,0.0,0.0187321299,0.873284285
Num of pregnancies,Citology,0.0036936086,0.0142324359,0.618816118
Hormonal Contraceptives,Citology,0.0,0.0080917446,0.3277663776
Dx:Cancer,Citology,0.0,0.0154916608,0.516100035
Age,Citology,0.0012978164,0.0052805373,0.8433476804
Smokes (years),Citology,0.0,0.0105063479,0.1407488374
STDs,Citology,0.0,0.0033389548,0.0558064959
STDs:HIV,Citology,0.0,0.0026951145,0.016248584
Smokes,Citology,0.0,0.002665592,0.106329023
STDs:syphilis,Citology,0.0,0.0048829486,0.0403399933
STDs (number),Citology,0.000745573,0.0020920474,0.0
STDs:condylomatosis,Citology,0.0,0.0023376282,0.0
STDs:genital herpes,Citology,0.0,0.0026189427,0.0
STDs:vaginal condylomatosis,Citology,0.0,0.0026886156,0.0
STDs: Number of diagnosis,Citology,0.0,0.0027045183,0.0
Dx:CIN,Citology,0.0,0.0124556456,0.0
First sexual intercourse,Biopsy,0.0036753079,0.0118363125,0.7816708893
Hormonal Contraceptives,Biopsy,0.0010924263,0.0018765758,0.2486837037
Hormonal Contraceptives (years),Biopsy,0.0035306222,0.0119892418,0.7919702831
IUD (years),Biopsy,0.0,0.0026903407,0.0993555681
Num of pregnancies,Biopsy,0.0013438374,0.0121621763,0.4739258715
Number of sexual partners,Biopsy,0.0146930534,0.0066194646,0.4279359747
Smokes,Biopsy,0.0,0.0020193075,0.0710250642
Smokes (packs/year),Biopsy,0.0009903116,0.0049139953,0.1423328878
Smokes (years),Biopsy,0.0,0.0039756434,0.0428025197
STDs,Biopsy,0.0175571561,0.0049104961,0.1674779285
STDs (number),Biopsy,0.000702582,0.0017827031,0.0080584067
STDs:condylomatosis,Biopsy,0.0,0.0019921004,0.0205371081
STDs:genital herpes,Biopsy,0.0,0.0074230268,0.0695008948
STDs:HIV,Biopsy,0.0,0.011955809,0.114814131
STDs:syphilis,Biopsy,0.0,0.0119465132,0.1604382818
STDs:vaginal condylomatosis,Biopsy,0.0,0.0021556975,0.0
STDs:vulvo-perineal condylomatosis,Biopsy,0.0,0.0038042714,0.1032880159
Age,Biopsy,0.0001713225,0.0075531964,0.9485132245
Dx,Biopsy,0.0,0.0752433553,2.1674279875
Dx:Cancer,Biopsy,0.0,0.0072949103,0.0
Dx:HPV,Biopsy,0.0,0.0308727214,1.0382581483
STDs: Number of diagnosis,Biopsy,0.0,0.0023773628,0.0
Dx:CIN,Biopsy,0.0,0.0085037668,0.0852684005
Smokes (packs/year),Hinselmann,0.0006979345,0.0151819681,0.4107706798
Hormonal Contraceptives (years),Hinselmann,0.0001484428,0.0066668219,0.8445314104
Num of pregnancies,Hinselmann,0.0005539951,0.0041002496,0.5163111156
IUD (years),Hinselmann,0.0,0.007287754,0.25064495
Number of sexual partners,Hinselmann,0.0159114026,0.0025675105,0.6656857089
First sexual intercourse,Hinselmann,0.0013813743,0.0081502245,0.7552872292
Age,Hinselmann,0.0009308695,0.0052897371,1.8179223021
STDs,Hinselmann,0.0050899919,0.0010065832,0.159121713
STDs: Number of diagnosis,Hinselmann,0.0,0.0027617988,0.2743005522
STDs:vulvo-perineal condylomatosis,Hinselmann,0.0,0.0009393161,0.0564698884
Hormonal Contraceptives,Hinselmann,0.0052363177,0.001145203,0.3046127373
Smokes (years),Hinselmann,0.0,0.0054324372,0.2561645853
STDs:HIV,Hinselmann,0.0,0.0013749196,0.0174548837
STDs:vaginal condylomatosis,Hinselmann,0.0,0.0023156256,0.0649858118
STDs:condylomatosis,Hinselmann,0.0,0.0010407329,0.0096845885
Dx,Hinselmann,0.0,0.0036763493,0.0
Dx:Cancer,Hinselmann,0.0,0.0039840204,0.0
Dx:CIN,Hinselmann,0.0,0.0047901916,0.0
Dx:HPV,Hinselmann,0.0,0.0018418788,0.0
Smokes,Hinselmann,0.0,0.0010589065,0.0
STDs (number),Hinselmann,0.0016102664,0.0010357611,0.0
STDs:genital herpes,Hinselmann,0.0,0.0011150355,0.0
STDs:syphilis,Hinselmann,0.0,0.001069434,0.0
