Attribute,Rulex,SHAP,LIME,Rulex_rank,SHAP_rank,LIME_rank
acarbose,0.0,0.0037248253,0.0216429336,1,2,16
acetohexamide,0.0,0.0,0.0,1,1,1
admission_source_id,0.0001172406,0.1816335326,0.0185481742,1,37,15
admission_type_id,0.0000101798,0.2165829455,0.012532275,1,39,10
age,0.0001459494,0.3228685847,0.0248899828,1,44,19
change,0.0001213971,0.2237951179,0.0030695032,1,40,2
chlorpropamide,0.0,0.0,0.0394045279,1,1,24
citoglipton,0.0,0.0,0.0,1,1,1
diabetesMed,0.0,0.1150052962,0.0,1,31,1
diag_1_Circulatory,0.0,0.1304105242,0.0034061804,1,33,2
diag_1_Diabetes,0.0,0.0304478447,0.0054282394,1,17,4
diag_1_Digestive,0.0,0.023318918,0.0054216443,1,12,4
diag_1_Genitourinary,0.0,0.1003341348,0.0070485573,1,28,6
diag_1_Injury,0.0,0.0294349339,0.0057447174,1,16,5
diag_1_Musculoskeletal,0.0,0.0310150983,0.0072002323,1,18,6
diag_1_Neoplasms,0.0,0.0055951526,0.0078647851,1,4,7
diag_1_Other,0.0,0.0608252861,0.0042966138,1,23,3
diag_1_Respiratory,0.0,0.1057683283,0.0042345536,1,30,3
diag_2_Circulatory,0.0,0.1528876524,0.0032750536,1,35,2
diag_2_Diabetes,0.0,0.0960314618,0.0046807817,1,26,4
diag_2_Digestive,0.0,0.0301147835,0.0082891483,1,17,7
diag_2_Genitourinary,0.0,0.0258515022,0.0061498155,1,14,5
diag_2_Injury,0.0,0.0071671969,0.010816524,1,5,9
diag_2_Musculoskeletal,0.0,0.0174923263,0.0105542603,1,8,9
diag_2_Neoplasms,0.0,0.0470473739,0.010005277,1,19,8
diag_2_Other,0.0,0.1263796108,0.0037016771,1,32,3
diag_2_Respiratory,0.0,0.1393263291,0.0050100242,1,34,4
diag_3_Circulatory,0.0,0.172889725,0.0033384567,1,36,2
diag_3_Diabetes,0.0,0.0973619993,0.0042645485,1,27,3
diag_3_Digestive,0.0,0.0219310747,0.0081491304,1,11,7
diag_3_Genitourinary,0.0,0.0194388937,0.006155529,1,9,5
diag_3_Injury,0.0,0.0274923471,0.0112361951,1,15,9
diag_3_Musculoskeletal,0.0,0.0124189779,0.0103389752,1,6,8
diag_3_Neoplasms,0.0,0.0193238541,0.0102984009,1,9,8
diag_3_Other,0.0,0.2083411627,0.0035186614,1,38,3
diag_3_Respiratory,0.0,0.0506173911,0.0057710067,1,20,5
discharge_disposition_id,0.0001756448,0.3561455278,0.0390473298,1,45,24
examide,0.0,0.0,0.0,1,1,1
gender_Female,0.0,0.0796265183,0.0031539241,1,24,2
gender_Male,0.0,0.0,0.0030179033,1,1,2
glimepiride,0.0,0.0147865829,0.0080264237,1,7,7
glimepiride-pioglitazone,0.0,0.0,0.0,1,1,1
glipizide,0.0,0.029298787,0.006383559,1,16,5
glipizide-metformin,0.0,0.0,0.0368379152,1,1,23
glyburide,0.0000308728,0.030371351,0.0062577185,1,17,5
glyburide-metformin,0.0,0.0052322769,0.0145230335,1,3,12
insulin,0.0014134816,0.2263615871,0.0054854355,2,41,4
metformin,0.0,0.0575174099,0.0043369505,1,22,3
metformin-pioglitazone,0.0,0.0,0.0,1,1,1
metformin-rosiglitazone,0.0,0.0,0.0,1,1,1
miglitol,0.0,0.0,0.0388585137,1,1,24
nateglinide,0.0,0.0040484354,0.0181243054,1,2,14
num_lab_procedures,0.0003598506,0.7263086224,0.0278586001,1,49,22
num_medications,0.0003177526,0.4693294997,0.0227899888,1,46,17
num_procedures,0.0000669446,0.2859620208,0.0152253936,1,42,12
number_diagnoses,0.0001731585,0.3092235628,0.0269207777,1,43,21
number_emergency,0.0,0.0821902169,0.006216848,1,25,5
number_inpatient,0.0000118321,0.5436749554,0.0691269983,1,48,25
number_outpatient,0.0,0.1037537656,0.0240651781,1,29,18
pioglitazone,0.0,0.0573364997,0.023509947,1,21,18
race_AfricanAmerican,0.0010501932,0.1385128907,0.0040207393,2,34,3
race_Asian,0.0,0.0146982208,0.0155834602,1,7,13
race_Caucasian,0.0002650026,0.0213035252,0.0,1,10,1
race_Hispanic,0.0,0.0060175223,0.0139301175,1,4,11
race_Other,0.0,0.0,0.0129451649,1,1,10
repaglinide,0.0,0.024767427,0.0255449895,1,13,20
rosiglitazone,0.0,0.0468033874,0.0101031614,1,19,8
time_in_hospital,0.0003236444,0.5317366492,0.024535561,1,47,19
tolazamide,0.0,0.0,0.0001110966,1,1,1
tolbutamide,0.0,0.0,0.0,1,1,1
troglitazone,0.0,0.0,0.0,1,1,1
