Attribute,Rulex,SHAP,LIME,Rulex_rank,SHAP_rank,LIME_rank
0,0.0,0.0,0.0,1,1,1
1,0.000148114,0.0812962378,0.0,1,3,1
11,0.0034885053,0.6544139125,0.0790447432,4,9,6
12,0.0009653382,0.4355018845,0.0539034907,2,4,4
14,0.0052375685,0.6400032332,0.2404399102,5,8,9
16,0.0015210172,0.4753451076,0.0243009651,3,6,2
17,0.0069953855,0.4889579416,0.0241529695,7,7,2
18,0.0,0.0711541462,0.0443407427,1,2,3
2,0.0350971752,1.0079472339,0.0909770173,8,11,7
8,0.0057206575,0.7184562684,0.1325631918,6,10,8
9,0.0015166227,0.4407419098,0.0770548695,3,5,5
