Attribute,Rulex,SHAP,LIME,Rulex_rank,SHAP_rank,LIME_rank
Age_at_diagnosis,0.011529234,0.0953057901,0.1024096197,6,15,17
ATRX,0.0004965844,0.0378795304,0.0919620649,1,13,16
BCOR,0.0008778536,0.0019718208,0.0098164229,2,1,3
CIC,0.0,0.0233437973,0.1154302506,1,11,19
CSMD3,0.0,0.0022806946,0.0094421422,1,1,2
EGFR,0.023505991,0.023392398,0.0266260757,7,11,5
FAT4,0.0022714081,0.0029047178,0.0370041106,3,2,6
FUBP1,0.0,0.0069579709,0.0664948787,1,3,13
Gender,0.0,0.0182987096,0.0047712684,1,8,1
GRIN2A,0.0,0.0067073704,0.0559570179,1,3,11
IDH1,0.0007116025,0.1782778046,0.4458291366,2,16,22
IDH2,0.0,0.0128061756,0.1830715438,1,6,20
MUC16,0.0,0.0240441554,0.0509543877,1,12,10
NF1,0.0045257125,0.0191167008,0.0760103546,4,9,14
NOTCH1,0.0,0.006772404,0.1060783734,1,3,18
PDGFRA,0.0,0.0027741778,0.0454986697,1,2,8
PIK3CA,0.0,0.0065190383,0.0243325788,1,3,4
PIK3R1,0.0,0.0136034884,0.0831252534,1,7,15
PTEN,0.0678860199,0.0502306103,0.1903455157,8,14,21
Race,0.0005723242,0.0094070709,0.0406480261,2,4,7
RB1,0.0063838552,0.0103667574,0.0757956872,5,5,14
SMARCA4,0.0,0.0024839231,0.0589847579,1,1,12
TP53,0.0007763333,0.0215837506,0.0497432647,2,10,9
