Attribute,Rulex,SHAP,LIME,Rulex_rank,SHAP_rank,LIME_rank
Age,0.0002450671,0.3664662072,0.0637197241,1,26,22
ALT 1,0.0000191465,0.2129997807,0.0331800644,1,13,13
ALT 12,0.0002446095,0.2953592621,0.0326902263,1,21,13
ALT 24,0.0001011446,0.2299162145,0.0326312568,1,16,13
ALT 36,0.0000684438,0.2056009397,0.0243872081,1,12,8
ALT 48,0.0000669531,0.3187926928,0.0429201688,1,23,17
ALT after 24 w,0.0000532354,0.1751539225,0.0285817146,1,9,10
ALT4,0.0001964374,0.2703441805,0.0338964321,1,20,14
AST 1,0.0004626079,0.2484999831,0.031334266,1,18,11
BMI,0.0001980981,0.2656094257,0.0422288887,1,19,16
Diarrhea,0.0,0.0569867102,0.0172310958,1,3,5
Epigastric pain,0.0,0.1682556134,0.0576555844,1,8,20
Fatigue & generalized bone ache,0.0,0.0285276179,0.0085596005,1,1,2
Fever,0.0,0.109632413,0.0324533635,1,5,12
Gender,0.0,0.2240819992,0.0654221986,1,15,23
Headache,0.0,0.0664300054,0.0116979319,1,4,3
HGB,0.0,0.1113862471,0.0164459537,1,6,4
Jaundice,0.0,0.0421974031,0.0065350616,1,2,1
Nausea/Vomting,0.0,0.1807123207,0.0644776568,1,11,22
Plat,0.0002777994,0.2405199145,0.020709879,1,17,6
RBC,0.0000689928,0.3225460078,0.0462807305,1,24,18
RNA 12,0.0001648155,0.1762947276,0.0254686339,1,10,9
RNA 4,0.0005891551,0.2987894188,0.0473355776,2,22,19
RNA Base,0.0003201699,0.3389627683,0.0600430285,1,25,21
RNA EF,0.0022210788,0.4646135978,0.1051378615,3,27,24
RNA EOT,0.0005749356,0.2139576307,0.0398204901,2,14,15
WBC,0.000459735,0.1570828277,0.0219311239,1,7,7
