Attribute,Target,Rulex,LIME,SHAP
fibr_ter_03_1.0,DRESSLER,0.0,0.0021724842,2.0087113
LET_IS_cardiogenic_shock,REC_IM,0.0,0.0151770086,1.755423325
NITR_S_1.0,REC_IM,0.0,0.0156197223,1.4351249
TIME_B_S_9.0,P_IM_STEN,0.0,0.0115759244,1.0749794333
IBS_POST_2.0,DRESSLER,0.0,0.0061232836,0.9847058875
ritm_ecg_p_07_1.0,DRESSLER,0.0,0.0123083434,0.9553392
LET_IS_cardiogenic_shock,P_IM_STEN,0.0,0.0194236287,0.920843075
ROE,A_V_BLOK,0.0029756319,0.0973416267,0.9098628944
AGE,PREDS_TAH,0.003356053,0.0113383298,0.9098301217
ant_im_4.0,P_IM_STEN,0.0,0.0048540034,0.827659662
ALT_BLOOD,PREDS_TAH,0.0201592066,0.0220728776,0.8249268192
NITR_S_1.0,P_IM_STEN,0.0,0.0061430012,0.82223655
LID_KB_1.0,P_IM_STEN,0.0,0.0051921224,0.79404462
LID_S_n_1.0,P_IM_STEN,0.0,0.0044182167,0.787650765
S_AD_ORIT,FIBR_JELUD,0.0659172108,0.0183779889,0.7658067335
NITR_S_1.0,DRESSLER,0.0,0.0064065053,0.762316105
AGE,FIBR_JELUD,0.0085865591,0.021889698,0.6896150183
L_BLOOD,PREDS_TAH,0.0015468214,0.0275067682,0.65793963
AGE,P_IM_STEN,0.0001991131,0.0649164319,0.6461160071
endocr_01_1.0,REC_IM,0.0,0.0045506478,0.63962012
endocr_01_1.0,DRESSLER,0.0,0.0082560227,0.61893645
K_BLOOD,JELUD_TAH,0.0092722126,0.0078688104,0.6178397289
ROE,JELUD_TAH,0.0318796295,0.0127509384,0.5677690304
AGE,REC_IM,0.013428021,0.1066955836,0.5501975586
ritm_ecg_p_07_1.0,REC_IM,0.0,0.0079965421,0.5421555667
inf_im_4.0,REC_IM,0.0,0.002259007,0.5372923
AGE,JELUD_TAH,0.0178257642,0.0091947004,0.5367375794
AGE,FIBR_PREDS,0.0188585584,0.1543132959,0.5348862283
TIME_B_S_6.0,REC_IM,0.0,0.0072733496,0.5288670333
ROE,PREDS_TAH,0.0032830247,0.0074367296,0.5272260146
ROE,OTEK_LANC,0.0075678155,0.056976994,0.5130486441
ROE,FIBR_JELUD,0.023617792,0.0051941965,0.4843619944
AST_BLOOD,ZSN,0.0252458486,0.037735505,0.4743914888
AGE,DRESSLER,0.0314467028,0.0548531058,0.4701507265
L_BLOOD,DRESSLER,0.0610993027,0.14950161,0.4475992041
L_BLOOD,P_IM_STEN,0.0016240391,0.0606288977,0.4428298703
AST_BLOOD,FIBR_PREDS,0.007239039,0.0897455976,0.4292459577
S_AD_ORIT,OTEK_LANC,0.0009469192,0.041962144,0.4252008298
ALT_BLOOD,A_V_BLOK,0.0001122379,0.071100769,0.4211013737
D_AD_ORIT,JELUD_TAH,0.0,0.0067198766,0.41454277
L_BLOOD,JELUD_TAH,0.0099668523,0.0053644105,0.4141753055
NA_R_1_n,OTEK_LANC,0.0680353141,0.0606098716,0.4060037087
DLIT_AG_7.0,P_IM_STEN,0.0,0.0057406814,0.4053482933
TIME_B_S_6.0,DRESSLER,0.0,0.0091270828,0.3982422767
DLIT_AG_nan,P_IM_STEN,0.0,0.0073707392,0.396167765
INF_ANAM_1.0,DRESSLER,0.0,0.0062039912,0.3925555025
D_AD_ORIT,PREDS_TAH,0.0082425856,0.01194478,0.3786173172
inf_im_1.0,DRESSLER,0.0,0.0089218703,0.3785407833
L_BLOOD,ZSN,0.0274476292,0.0418531295,0.3707748487
ALT_BLOOD,OTEK_LANC,0.0005184896,0.0370508043,0.3478887634
NA_BLOOD,OTEK_LANC,0.0134926411,0.0680606753,0.3478643348
ALT_BLOOD,FIBR_PREDS,0.0,0.0249320283,0.3477857062
LID_KB_nan,P_IM_STEN,0.0,0.0054627033,0.3465338125
ALT_BLOOD,JELUD_TAH,0.0082270349,0.0033639909,0.3453720901
AGE,ZSN,0.0302924567,0.0479557735,0.342356539
D_AD_ORIT,OTEK_LANC,0.0071787672,0.0288728854,0.3423245118
DLIT_AG_7.0,REC_IM,0.0,0.0068236113,0.3415192323
L_BLOOD,OTEK_LANC,0.0022130166,0.0239272405,0.330318735
ROE,ZSN,0.0,0.0279979455,0.3290987123
L_BLOOD,FIBR_PREDS,0.0046237771,0.0511383754,0.3255388162
