Attribute,Target,Rulex,LIME,SHAP
NITR_S,OTEK_LANC,0.0,0.499530027,2.5407638429
fibr_ter_03,DRESSLER,0.0,0.2558138748,2.493211
n_r_ecg_p_05,FIBR_PREDS,0.0,0.2034541805,1.7011013
inf_im,A_V_BLOK,0.1436977395,0.1144690501,1.46685563
NITR_S,REC_IM,0.0,0.3190028767,1.2940225667
LID_S_n,FIBR_JELUD,0.0,0.2469733988,1.289318505
n_r_ecg_p_03,OTEK_LANC,0.0,0.1049572327,1.1250557525
INF_ANAM,RAZRIV,0.0,0.052238768,1.0947248845
NITR_S,ZSN,0.0,0.1720468548,1.030645315
NOT_NA_KB,P_IM_STEN,0.0,0.1157002498,0.944623875
DLIT_AG,PREDS_TAH,0.0,0.0787827129,0.8756172577
INF_ANAM,A_V_BLOK,0.0,0.0054931322,0.8658746
LID_S_n,PREDS_TAH,0.0,0.0596551837,0.8642897163
AGE,PREDS_TAH,0.0,0.0369972553,0.8294045908
AGE,FIBR_PREDS,0.0468576971,0.1474064179,0.8251019711
ROE,A_V_BLOK,0.0049683055,0.0217719255,0.7909124269
FK_STENOK,RAZRIV,0.0,0.0490582665,0.788146065
NOT_NA_3_n,RAZRIV,0.0721782079,0.2133636799,0.7671480901
ALT_BLOOD,PREDS_TAH,0.0055933052,0.0472648172,0.7246864191
S_AD_ORIT,FIBR_JELUD,0.0104047105,0.0636943856,0.7163227826
IBS_POST,DRESSLER,0.0,0.1736096932,0.7026647055
ritm_ecg_p_07,DRESSLER,0.0,0.084081963,0.701073785
AGE,FIBR_JELUD,0.0124227795,0.0943429084,0.6874168425
AGE,P_IM_STEN,0.0004377775,0.0816742309,0.6785942688
endocr_01,DRESSLER,0.0,0.081401564,0.661306615
B_BLOK_S_n,OTEK_LANC,0.0,0.0600115424,0.644828054
INF_ANAM,JELUD_TAH,0.0,0.0128949433,0.6443605
ant_im,FIBR_JELUD,0.0,0.0854989409,0.6303233175
IBS_POST,FIBR_PREDS,0.0304037537,0.1477295576,0.6291838986
TRENT_S_n,ZSN,0.0,0.0717254804,0.6161715023
ZSN_A,ZSN,0.0,0.0863633049,0.61607875
STENOK_AN,REC_IM,0.0818746958,0.0749829054,0.5756903844
TIME_B_S,P_IM_STEN,0.0,0.0431242362,0.5618566727
STENOK_AN,FIBR_PREDS,0.0,0.0560726947,0.5611086434
NITR_S,P_IM_STEN,0.0,0.0589190937,0.5586498467
LID_S_n,P_IM_STEN,0.0,0.1639813939,0.557561475
L_BLOOD,PREDS_TAH,0.0013560439,0.0344198881,0.5507868392
AGE,REC_IM,0.0150916852,0.0833492548,0.5484196488
L_BLOOD,A_V_BLOK,0.0,0.0290383865,0.5348682838
AGE,RAZRIV,0.0013614541,0.0350605803,0.5258171816
NA_R_1_n,OTEK_LANC,0.002733054,0.0739221462,0.4973819806
DLIT_AG,P_IM_STEN,0.0354974587,0.0202798223,0.4942504367
K_BLOOD,FIBR_JELUD,0.0012152261,0.0588907585,0.4877430633
NOT_NA_1_n,P_IM_STEN,0.0001055859,0.0826576613,0.487741
STENOK_AN,DRESSLER,0.0,0.0279218753,0.4858081189
NOT_NA_3_n,ZSN,0.0148495204,0.2693094572,0.4831260994
ALT_BLOOD,FIBR_PREDS,0.0001456619,0.0584068361,0.47417413
AGE,JELUD_TAH,0.0053788492,0.0119585691,0.4738456965
SEX,FIBR_PREDS,0.0,0.0055015244,0.4721841588
LID_S_n,DRESSLER,0.0,0.0714426573,0.46782698
ZSN_A,OTEK_LANC,0.0,0.0046407197,0.467655475
L_BLOOD,OTEK_LANC,0.0000254583,0.0306587972,0.4648279153
ALT_BLOOD,P_IM_STEN,0.0484444713,0.0856164612,0.4634954341
AST_BLOOD,ZSN,0.018910183,0.060543161,0.4610822001
L_BLOOD,JELUD_TAH,0.0005479596,0.0081245867,0.4601007867
ROE,RAZRIV,0.0,0.0354469778,0.4591489005
ROE,OTEK_LANC,0.0071301037,0.0657418522,0.457254577
ALT_BLOOD,JELUD_TAH,0.0002834929,0.0202055924,0.4553274682
STENOK_AN,ZSN,0.0,0.0812970914,0.4539880965
NOT_NA_2_n,RAZRIV,0.0,0.0760795943,0.4529784545
ritm_ecg_p_07,REC_IM,0.0,0.0706623727,0.4525705325
L_BLOOD,DRESSLER,0.0243970358,0.0244252966,0.448119262
zab_leg_02,ZSN,0.0,0.0442160476,0.446739584
SIM_GIPERT,DRESSLER,0.0,0.0112282942,0.44657847
STENOK_AN,JELUD_TAH,0.0,0.0079199908,0.4448715457
L_BLOOD,ZSN,0.0113306959,0.0613119308,0.4440990643
ROE,JELUD_TAH,0.0,0.0209511257,0.4402560069
LID_KB,RAZRIV,0.0,0.0139530338,0.43913591
NA_R_3_n,A_V_BLOK,0.0,0.081744519,0.4384973027
S_AD_ORIT,OTEK_LANC,0.0006501077,0.0405265845,0.4372919315
D_AD_ORIT,PREDS_TAH,0.0000128675,0.0364137396,0.4370802972
S_AD_ORIT,RAZRIV,0.0,0.0181313864,0.4334492228
TIME_B_S,RAZRIV,0.0059416915,0.0329118158,0.4332259321
nr_11,A_V_BLOK,0.0,0.0233006179,0.4256773
STENOK_AN,RAZRIV,0.0,0.0180831013,0.4244507239
endocr_01,REC_IM,0.0,0.1326112832,0.4225141
ZSN_A,RAZRIV,0.0,0.0185395785,0.422464765
TIME_B_S,OTEK_LANC,0.0009884209,0.0783668647,0.4192495889
IBS_POST,FIBR_JELUD,0.0,0.0429462021,0.41400214
inf_im,FIBR_PREDS,0.0,0.0446120922,0.4132309482
ALT_BLOOD,FIBR_JELUD,0.0055398291,0.0190714883,0.4031948278
L_BLOOD,REC_IM,0.0040306566,0.0552849038,0.402215257
ROE,PREDS_TAH,0.0000106311,0.0196856029,0.4015269646
ant_im,RAZRIV,0.0440485785,0.0349578986,0.4014274042
L_BLOOD,FIBR_PREDS,0.0000201721,0.0579128857,0.4011397968
R_AB_3_n,DRESSLER,0.0,0.029788095,0.3972534
R_AB_3_n,REC_IM,0.0,0.0906756613,0.38556254
K_BLOOD,JELUD_TAH,0.0005910856,0.0114346292,0.3827968545
NOT_NA_KB,REC_IM,0.0,0.1253428034,0.3813930717
zab_leg_01,FIBR_PREDS,0.0,0.058740872,0.380980615
INF_ANAM,FIBR_PREDS,0.0,0.0279039352,0.37471935
O_L_POST,OTEK_LANC,0.0,0.0556194964,0.3740509225
AGE,ZSN,0.0000201316,0.0578649906,0.3730677365
ROE,FIBR_JELUD,0.0065317319,0.0410876001,0.3689003128
fibr_ter_03,JELUD_TAH,0.0,0.0053859714,0.36513448
ALT_BLOOD,REC_IM,0.0,0.0709603233,0.3625981054
D_AD_ORIT,JELUD_TAH,0.0,0.0076841706,0.3624454667
AGE,DRESSLER,0.0,0.0376620082,0.3561381958
L_BLOOD,P_IM_STEN,0.0038736102,0.0203658167,0.35600466
n_p_ecg_p_03,ZSN,0.0,0.0259022887,0.35600351
AST_BLOOD,JELUD_TAH,0.0038508748,0.0153261856,0.3494927446
endocr_01,ZSN,0.0,0.039455601,0.3436956236
ant_im,P_IM_STEN,0.0,0.0250080166,0.3314510629
INF_ANAM,PREDS_TAH,0.0,0.0189310933,0.33129156
GB,PREDS_TAH,0.0,0.0199545972,0.3311946013
NOT_NA_1_n,REC_IM,0.0,0.0571432974,0.32961184
D_AD_ORIT,RAZRIV,0.0,0.0258718168,0.3270975685
ANT_CA_S_n,FIBR_JELUD,0.0,0.0384724353,0.3253002973
ALT_BLOOD,A_V_BLOK,0.0004592921,0.0318763431,0.3186716826
ROE,DRESSLER,0.0009897319,0.0257472966,0.3174000321
S_AD_ORIT,ZSN,0.0,0.0366905029,0.3142160141
L_BLOOD,FIBR_JELUD,0.0001282801,0.0180824481,0.3138956456
NA_BLOOD,DRESSLER,0.0058991441,0.0170779145,0.3129256943
ALT_BLOOD,OTEK_LANC,0.0012418584,0.0311796363,0.3128261042
DLIT_AG,REC_IM,0.0005890482,0.047099139,0.3124695658
NA_BLOOD,OTEK_LANC,0.0000804371,0.0305602411,0.305363047
ant_im,ZSN,0.0,0.0189928893,0.3047804814
INF_ANAM,ZSN,0.0,0.0197477828,0.3040937417
AGE,OTEK_LANC,0.0056081117,0.0235292137,0.3039261514
zab_leg_01,ZSN,0.0,0.0271293498,0.3036171278
AST_BLOOD,RAZRIV,0.00257815,0.0211435671,0.3030423514
S_AD_ORIT,JELUD_TAH,0.0097338782,0.0124360048,0.2973861
ROE,REC_IM,0.0294639621,0.0639871052,0.2973224859
SEX,A_V_BLOK,0.0,0.0025015496,0.2961809513
DLIT_AG,A_V_BLOK,0.0,0.0074686413,0.2948526854
S_AD_ORIT,DRESSLER,0.0009703325,0.0134384129,0.2898011182
AST_BLOOD,FIBR_PREDS,0.0266640317,0.0268401852,0.2862763058
TIME_B_S,FIBR_JELUD,0.0019987918,0.0162767306,0.2851922201
GB,FIBR_JELUD,0.0,0.0217516768,0.285078785
AST_BLOOD,DRESSLER,0.0006120591,0.0570165352,0.284847387
NA_KB,FIBR_JELUD,0.0,0.020764612,0.284415726
GB,JELUD_TAH,0.0069216679,0.0116170246,0.2836846225
ROE,P_IM_STEN,0.0027278125,0.0272709732,0.2802062298
INF_ANAM,DRESSLER,0.0,0.1047303185,0.2777941615
AST_BLOOD,A_V_BLOK,0.0000041689,0.0123022321,0.2774219014
IBS_POST,P_IM_STEN,0.0,0.1423984628,0.2747864836
D_AD_ORIT,OTEK_LANC,0.0004799626,0.0141034882,0.2709191023
ANT_CA_S_n,PREDS_TAH,0.0,0.0486884949,0.26814035
NA_R_2_n,OTEK_LANC,0.0149911293,0.0482938586,0.2662994678
NA_BLOOD,P_IM_STEN,0.0009733237,0.0811509169,0.2625911495
NA_BLOOD,ZSN,0.0074003627,0.0354653942,0.260903653
NA_BLOOD,FIBR_JELUD,0.0,0.0158855476,0.2522437067
R_AB_1_n,ZSN,0.0,0.0141711851,0.24639145
lat_im,RAZRIV,0.0,0.0104606701,0.2457892225
ALT_BLOOD,RAZRIV,0.0000341787,0.0132370573,0.2414903076
LID_KB,REC_IM,0.0,0.0425767285,0.24093624
S_AD_ORIT,REC_IM,0.0000252446,0.0345153623,0.23964083
LID_S_n,FIBR_PREDS,0.0,0.0780603268,0.2395231513
NA_KB,JELUD_TAH,0.0,0.0052250048,0.238691106
n_r_ecg_p_05,JELUD_TAH,0.0,0.0131203803,0.2378432
ritm_ecg_p_01,A_V_BLOK,0.0,0.0267467299,0.236373262
LID_S_n,RAZRIV,0.0,0.0124492974,0.2357641902
ALT_BLOOD,ZSN,0.0000175655,0.0311618507,0.2343579954
AST_BLOOD,P_IM_STEN,0.0018880709,0.0337310537,0.2326214839
ant_im,PREDS_TAH,0.0104189528,0.0227354825,0.2321637075
D_AD_ORIT,A_V_BLOK,0.0,0.0157105791,0.2311877665
fibr_ter_03,REC_IM,0.0,0.0301186232,0.23114142
TIME_B_S,FIBR_PREDS,0.0781003621,0.0282525837,0.2308206683
STENOK_AN,P_IM_STEN,0.0,0.0177786867,0.2258397938
L_BLOOD,RAZRIV,0.0004688036,0.0116521994,0.2239167293
NA_R_3_n,ZSN,0.0202038015,0.0275456992,0.2216488616
n_r_ecg_p_05,P_IM_STEN,0.0,0.020395537,0.22156365
ritm_ecg_p_01,JELUD_TAH,0.0,0.0169168105,0.22121834
TIME_B_S,ZSN,0.0134025223,0.0174369498,0.2205717944
NA_KB,PREDS_TAH,0.0,0.0172195566,0.219905788
IBS_POST,REC_IM,0.0,0.0525539914,0.2190447127
endocr_02,ZSN,0.0,0.0577286417,0.2189830733
ROE,ZSN,0.0,0.0257728713,0.2181652629
NA_BLOOD,REC_IM,0.0011148403,0.0700415008,0.2173135185
n_p_ecg_p_12,ZSN,0.0,0.030899812,0.21700721
ANT_CA_S_n,A_V_BLOK,0.0,0.0225991699,0.2145778201
K_BLOOD,REC_IM,0.0000963665,0.0428478612,0.2143062182
nr_03,FIBR_PREDS,0.0,0.0551873706,0.21159372
DLIT_AG,FIBR_JELUD,0.0,0.0237393137,0.2115704486
STENOK_AN,OTEK_LANC,0.0,0.0358414495,0.2114862696
K_BLOOD,DRESSLER,0.000574666,0.0168011351,0.2110961035
NITR_S,DRESSLER,0.0,0.0045456746,0.2109919833
endocr_01,OTEK_LANC,0.0,0.0198523856,0.2109038195
MP_TP_POST,A_V_BLOK,0.0,0.0177427318,0.209809806
NOT_NA_1_n,RAZRIV,0.0,0.0229047603,0.2074241764
GB,FIBR_PREDS,0.0044589751,0.0297949236,0.2055218354
S_AD_ORIT,FIBR_PREDS,0.0,0.0216291816,0.2047702485
IBS_POST,OTEK_LANC,0.0,0.0614752122,0.2026696688
ROE,FIBR_PREDS,0.0000236105,0.0130773309,0.1986907941
FK_STENOK,FIBR_PREDS,0.0,0.0222504407,0.1984552476
LID_KB,P_IM_STEN,0.0,0.0515896808,0.1954287767
ant_im,DRESSLER,0.0,0.0270451165,0.1927325691
endocr_01,A_V_BLOK,0.0,0.0024676286,0.1909899325
SEX,JELUD_TAH,0.0,0.0008099859,0.1900144288
ant_im,OTEK_LANC,0.0,0.0310673185,0.1899318398
NOT_NA_KB,JELUD_TAH,0.0,0.0082996565,0.18884269
lat_im,REC_IM,0.0004572685,0.0451280103,0.188670745
NOT_NA_1_n,OTEK_LANC,0.0000310102,0.0401334757,0.1857164409
AGE,A_V_BLOK,0.0000122067,0.015556943,0.183897134
R_AB_3_n,P_IM_STEN,0.0,0.0276899223,0.18278956
TIME_B_S,DRESSLER,0.0,0.0136673022,0.1819925487
endocr_01,P_IM_STEN,0.0,0.032565034,0.18178898
