Attribute,Rulex,SHAP,LIME,Rulex_rank,SHAP_rank,LIME_rank
Age,0.0078487955,1.1721165499,0.0040747462,6,17,5
CAEC,0.000136015,0.452685825,0.001950906,1,10,3
CALC,0.0,0.4051086315,0.0004553014,1,9,1
CH2O,0.0068513709,0.7193524996,0.0021262095,5,13,3
FAF,0.0017292981,0.5740492339,0.0010029489,3,11,2
family_history_with_overweight,0.0086648187,1.0352426483,0.0,7,16,1
FAVC,0.0019306015,0.3967292895,0.0,3,8,1
FCVC,0.0122259479,0.722480146,0.0032937215,8,14,4
Gender,0.0,0.2705785676,0.0003980482,1,6,1
NCP,0.0005579046,0.7719601427,0.0024970739,2,15,3
SCC,0.0,0.0921172911,0.0007214042,1,4,2
SMOKE,0.0,0.0608541148,0.000929112,1,3,2
Transport_Automobile,0.0,0.1228418426,0.0004352646,1,5,1
Transport_Bike,0.0,0.0,0.002122568,1,1,3
Transport_Motorbike,0.0,0.0,0.0019312158,1,1,3
Transport_Public_Transportation,0.0043541092,0.3925382116,0.0004278839,4,7,1
Transport_Walking,0.0,0.01121076,0.0008545375,1,2,2
TUE,0.0022052315,0.6144725603,0.0015704639,3,12,3
