Dataset                          , Spearman (Rulex-SHAP), Spearman (Rulex-LIME), Spearman (SHAP-LIME), Kendall (Rulex-SHAP), Kendall (Rulex-LIME), Kendall (SHAP-LIME), Jaccard (Rulex-SHAP), Jaccard (Rulex-LIME), Jaccard (SHAP-LIME)
Breast_Cancer.csv                ,                  0.55,                  0.55,                 0.83,                 0.37,                 0.37,                0.67,                 0.43,                 0.67,                0.67
CDC_Diabetes.csv                 ,                  0.37,                  0.71,                 0.64,                 0.24,                 0.49,                0.49,                 0.11,                 0.43,                0.43
Cervical_Cancer.csv              ,                  0.51,                  0.12,                 0.65,                 0.41,                 0.1 ,                0.48,                 0.25,                 0.15,                0.44
Diabetes1999-2008.csv            ,                  0.43,                  0.09,                 0.23,                 0.5 ,                 0.23,                0.1 ,                 0.43,                 0.0 ,                0.25
Diabetic_Retinopathy_Debrecen.csv,                  0.94,                  0.61,                 0.76,                 0.84,                 0.46,                0.55,                 1.0 ,                 0.67,                0.67
Glioma_Grading_Clinical.csv      ,                  0.52,                  0.18,                 0.6 ,                 0.31,                 0.1 ,                0.45,                 0.25,                 0.11,                0.43
Hepatit_C_Virus.csv              ,                  0.68,                  0.32,                 0.73,                 0.54,                 0.25,                0.59,                 0.11,                 0.11,                0.43
Myocardial_Infraction.csv        ,                  0.26,                  0.39,                 0.56,                 0.22,                 0.33,                0.48,                 0.3 ,                 0.37,                0.44
Obesity_level.csv                ,                  0.84,                  0.18,                 0.3 ,                 0.66,                 0.2 ,                0.19,                 0.67,                 0.43,                0.67
TOTAL AVERAGE                    ,                  0.57,                  0.35,                 0.59,                 0.45,                 0.28,                0.44,                 0.39,                 0.33,                0.49
